n;t
1;0.0074
2;0.0045
3;0.0061
4;0.0077
5;0.011
6;0.0094
7;0.011
8;0.0145
9;0.0132
10;0.0174
11;0.0186
12;0.0194
13;0.0205
14;0.021995
15;0.0243
16;0.024998
17;0.027345
18;0.028061
19;0.032305
20;0.035497
21;0.03786
22;0.03488
23;0.03935
24;0.0555
25;0.04175
26;0.03722
27;0.4156
28;0.0687
29;0.0714
30;0.06678
